sample,label,Methy_A1BG,Methy_A2BP1,Methy_A2M
GSM2139163,1,2.686632746,0.471813185,1.087002902
GSM2139164,0,2.554369626,0.358002242,0.995448627
GSM2139165,1,2.602785247,0.475757682,0.930039431
GSM2139166,0,3.044107444,0.363263826,1.439127683
GSM2139167,0,2.792862478,0.692277061,1.253669831
GSM2139168,1,2.760569021,0.304917654,1.233877051
GSM2139169,1,2.85744835,0.513587788,1.077293172
GSM2139170,0,2.715808217,0.439012001,1.175005512
GSM2139171,0,2.818754074,0.364611794,1.353845254
GSM2139172,1,3.260735612,0.176919314,1.307934846
GSM2139173,1,3.016218148,0.458225872,1.405017752
GSM2139174,1,2.606546262,0.197713641,0.512004014
GSM2139175,1,2.667581379,0.446181931,0.813449762
GSM2139176,1,2.349525264,0.207378228,0.562846865
GSM2139177,1,2.66241219,0.132211941,0.902159723
GSM2139178,1,2.489792458,0.297692622,0.915780874
GSM2139179,1,2.407681218,0.457246106,0.888690901
GSM2139180,0,2.827695322,0.434400955,1.102913549
GSM2139181,1,2.789423142,0.638345508,1.030291931
GSM2139182,1,2.554087459,0.280403208,0.968143841
GSM2139183,0,2.85358273,0.452948756,1.162574871
GSM2139184,0,2.987963644,0.449640446,1.210893249
GSM2139185,1,2.506373545,-0.012496876,0.738899326
GSM2139186,0,2.557993968,0.111538454,0.848575787
GSM2139187,0,2.509035421,0.239490437,1.107423979
GSM2139188,0,2.386945162,0.362945062,0.987797192
GSM2139189,0,2.673401432,0.329715683,0.822910331
GSM2139190,1,2.69508676,0.451670159,0.955187031
GSM2139191,0,2.767107663,0.250316394,1.100110976
GSM2139192,1,2.667150198,0.21564385,0.99457047
GSM2139193,0,2.582386556,0.443759422,1.130222529
GSM2139194,0,2.705441875,0.266930616,1.008430711
GSM2139195,0,2.535185185,0.339940667,0.90641731
GSM2139196,0,2.797503683,0.160115648,1.17407425
GSM2139197,1,2.388119852,0.346091541,0.767233494
GSM2139198,0,2.456358194,0.088474102,0.81377385
GSM2139199,0,2.454282711,0.387891459,0.899243343
GSM2139200,1,2.70382067,0.068169532,0.901970711
GSM2139201,0,2.718041445,0.177490382,1.075241973
GSM2139202,1,2.579774123,0.399224502,1.083930132
GSM2139203,0,2.502934131,0.403329658,0.860566038
GSM2139204,1,2.871138758,0.493485668,1.247388709
GSM2139205,1,2.577387665,0.347775191,0.934003129
GSM2139206,1,2.477256121,0.306228255,0.818036167
GSM2139207,0,2.868597801,0.058614311,1.296875412
GSM2139208,1,2.960232777,0.481686122,1.084077478
GSM2139255,0,2.963456333,0.210038424,0.652508275
GSM2139256,1,2.552685266,-0.002242513,0.528718458
GSM2139257,0,2.73639485,0.322663558,0.966743873
GSM2139258,0,2.64879506,0.133988034,1.209786
GSM2139259,1,2.679596282,0.471678202,1.227725262
GSM2139260,0,2.700729279,0.263410627,0.841887591
GSM2139261,1,2.836700828,0.491333358,1.229189479
GSM2139262,0,2.562486498,0.387314039,0.897200219
GSM2139263,0,2.902620069,0.464905598,0.948459533
GSM2139264,1,2.810460108,0.51983458,1.227536856
GSM2139265,1,2.782681754,0.553486347,1.347871784
GSM2139266,1,2.532819435,0.418219638,0.951681769
GSM2139279,1,2.40057058,0.318064319,0.849397763
GSM2139280,0,2.416490336,0.36814715,0.674374571
GSM2139281,1,2.588374728,0.419465759,0.806654286
GSM2139282,0,2.43979556,0.096381536,0.679582545
GSM2139283,1,2.458007327,0.079753358,0.884412357
GSM2139284,1,2.627221912,0.395529134,1.355096999
GSM2139285,1,2.806960308,0.299536628,1.18335306
GSM2139286,0,2.495588461,0.353468647,1.226327232
GSM2139287,1,2.687262256,0.42260969,1.253692462
GSM2139288,1,2.840351705,0.389107768,1.078650803
GSM2139289,0,2.831327646,0.220508609,1.233309754
GSM2139290,1,3.086526636,0.449180064,1.511096295
GSM2139303,1,2.363709255,0.249272713,0.728476373
GSM2139304,0,2.715274966,0.311018051,1.355379857
GSM2139305,1,2.426120534,0.23764864,0.663425351
GSM2139306,0,2.687395728,0.369513235,0.953463686
GSM2139307,1,2.625618588,0.174329579,0.928831019
GSM2139308,0,2.207622832,0.199333602,0.660910732
GSM2139309,1,2.866161938,0.382187771,1.041271631
GSM2139310,1,2.429470816,0.486940238,0.782450758
GSM2139311,1,2.611792358,0.353717217,1.23659329
GSM2139312,1,2.287805743,0.185218964,0.637567373
GSM2139313,0,2.678146755,0.383772172,1.125871543
GSM2139314,0,3.009035714,0.295184872,1.182052247
GSM2139326,1,2.246257078,0.040917733,0.614047805
GSM2139327,1,2.201918045,0.04019413,0.715011914
GSM2139328,0,2.202984619,-0.153919328,0.338573845
GSM2139329,0,2.355704929,-0.042841239,0.422910129
GSM2139330,0,2.198630695,0.037653542,0.666426778
GSM2139331,1,2.207671064,0.17561526,0.525722117
GSM2139332,0,2.440389889,0.09150486,0.9096596
GSM2139333,1,2.527884378,0.099751129,0.815682523
GSM2139334,1,2.854427556,0.269870098,0.98613868
GSM2139335,0,2.54004344,0.103638728,0.819932297
GSM2139336,1,2.976862966,0.507700838,1.42385023
GSM2139337,0,2.940787185,0.503710374,1.247403748
GSM2139338,0,2.301927916,-0.153510835,0.700705574
GSM2139339,1,2.157411685,-0.027207829,0.891627348
GSM2139340,1,2.342456625,-0.053442604,0.654767359
GSM2139341,0,2.312376644,0.074089519,0.745894098
GSM2139342,0,2.435673688,0.043456441,0.697581139
GSM2139343,1,2.538370559,0.368029266,0.899711109
GSM2139344,0,2.427894418,0.183970095,0.967870397
GSM2139345,0,2.415655171,0.239934207,0.916751666
GSM2139346,0,2.664215436,0.413320833,0.910640632
GSM2139347,0,2.815644265,0.349166898,0.92000864
GSM2139348,0,2.417677077,1.035603883,-0.138127115
GSM2139349,1,2.374389345,0.059768747,0.656024199
GSM2139350,1,2.212632035,0.093212286,0.529637746
GSM2139351,1,2.506967105,0.131193064,0.754289252
GSM2139352,1,2.559991866,0.331071626,0.538357882
GSM2139353,0,2.40579829,0.27643319,0.87596849
GSM2139354,0,2.605736991,0.231152757,1.174484312
GSM2139355,1,2.668253492,0.102459087,0.921626765
GSM2139356,1,2.575797647,0.556584618,1.222540883
GSM2139357,1,2.710050225,0.46262219,1.1847165
GSM2139358,0,2.663932377,0.372320711,0.835437347
GSM2139359,1,2.968529921,0.394765661,1.644506056
GSM2139360,1,2.870284552,0.382172411,1.074285783
GSM2139361,1,2.693495782,0.221502161,0.896497234
GSM2139362,0,2.480229278,0.443806038,1.194264929
GSM2139363,0,2.625268501,0.489249232,0.971380276
GSM2139364,1,2.551733616,0.469456817,1.102635503
GSM2139365,0,2.385688274,0.403455447,1.032976331
GSM2139366,0,2.750776571,0.339853117,1.026815402
GSM2139367,1,2.662922441,0.516928499,0.781371041
GSM2139368,0,2.681048305,0.247051571,0.964367645
GSM2139369,0,2.816331472,0.213687014,1.047961524
GSM2139370,1,2.671300932,0.446470065,1.386258225
GSM2139371,1,2.784787533,0.200174183,1.091557372
GSM2139372,0,2.835812587,0.438655044,0.871381767
GSM2139373,0,2.457699325,0.197566788,0.891975746
GSM2139374,1,2.408411475,0.040065022,1.095467388
GSM2139375,0,2.408478593,0.289203194,0.934481387
GSM2139376,1,2.420944494,0.257080767,0.855692408
GSM2139377,1,2.450798926,0.306931883,1.079337059
GSM2139378,1,2.400897178,0.241133059,0.665095292
GSM2139379,0,2.677004766,0.190637094,1.326067603
GSM2139380,1,2.858441671,0.149194133,1.242000189
GSM2139381,1,2.549022387,0.234794474,0.888477052
GSM2139382,0,2.851612036,-0.056679663,0.90447238
GSM2139383,0,3.400717531,0.066382992,1.258093452
GSM2139412,0,2.782623607,0.413732896,1.194948418
GSM2139413,0,2.57651136,-0.097993035,0.784035825
