sample,label,A1BG,A2BP1,A2M
GSM1423780,1,-0.066694045,0.019393985,-0.01999192
GSM1423781,1,0.054097305,0.04661377,-0.02822959
GSM1423782,1,0.02528179,0.18675345,-0.02522354
GSM1423783,1,0.00248456,0.00646935,0.009184075
GSM1423784,1,-0.092605565,0.075331085,-0.02748478
GSM1423785,1,-0.044708465,-0.3456473,-0.06076526
GSM1423786,1,-0.09556635,-0.32054605,0.1559286
GSM1423787,1,-0.04225787,-0.7765382,0.3511705
GSM1423788,1,-0.05147972,0.018454504,-0.02419143
GSM1423789,1,-0.03106824,-0.3407391,0.1888376
GSM1423790,1,-0.090663045,-0.09152997,0.05316428
GSM1423791,1,-0.08166245,-0.33532065,0.004160027
GSM1423792,1,-0.12845879,-0.2164355,-0.1579901
GSM1423793,1,-0.113770055,-0.021838403,-0.1361758
GSM1423794,1,-0.05503621,-0.58325355,0.0265189
GSM1423795,1,-0.070021447,-0.3902568,0.227766
GSM1423796,1,0.001502205,-0.2319524,0.1599115
GSM1423797,1,-0.039074139,-0.28762205,0.2313739
GSM1423798,1,0.001164895,-0.19107395,-0.02490793
GSM1423799,1,-0.01870858,-0.54766485,0.2587359
GSM1423800,1,-0.0107138,-0.349528,0.07141985
GSM1423801,1,-0.018614455,-0.4136487,0.2561578
GSM1423802,1,0.121804,-0.2807742,-0.1603409
GSM1423803,1,-0.08147047,0.05422566,-0.1551058
GSM1423804,1,0.03707904,-0.6123822,0.546459
GSM1423805,1,-0.06829078,-0.086235065,0.1225874
GSM1423806,1,-0.05718727,-0.6037272,0.01704027
GSM1423807,1,0.031455545,-0.5357897,0.2226033
GSM1423808,1,-0.08146462,-0.54940785,0.01471161
GSM1423809,1,-0.014364304,0.11297456,-0.1889625
GSM1423810,1,-0.08576906,-0.1882572,-0.07199302
GSM1423811,1,-0.069763955,0.000722535,0.09833956
GSM1423812,1,-0.056330362,-0.52872635,-0.04072991
GSM1423813,1,-0.057212475,-0.16340595,-0.144144
GSM1423814,1,-0.034248365,0.014369554,-0.1404225
GSM1423815,1,-0.03752652,-0.100152015,0.05415138
GSM1423816,1,-0.05994113,-0.08170996,-0.1193443
GSM1423817,1,-0.08454352,-0.070249915,0.1490177
GSM1423818,1,-0.13112764,-0.116138395,-0.04488385
GSM1423819,1,-0.01751818,-0.4824836,0.1126611
GSM1423820,1,-0.127133165,-0.30785235,0.09953652
GSM1423821,1,-0.073738086,-0.4444902,0.1538716
GSM1423822,1,-0.05414148,0.054014603,-0.0648617
GSM1423823,1,-0.072052257,-0.88928575,0.2063738
GSM1423824,1,-0.118582955,-0.45880945,0.07277571
GSM1423825,1,-0.040294075,-0.26492635,-0.03496123
GSM1423826,1,-0.102719705,-0.6518473,0.4738526
GSM1423827,1,-0.087403765,-0.35450275,-0.04597846
GSM1423828,1,-0.065869325,-0.08075667,0.02184563
GSM1423829,1,-0.03343297,0.030092909,0.2020948
GSM1423830,1,-0.018560248,0.13188955,-0.1171545
GSM1423831,1,0.00522505,-0.35294925,0.1471623
GSM1423832,1,-0.089323215,-0.2643813,-0.05139303
GSM1423833,1,-0.031908094,-0.03403499,-0.08684967
GSM1423834,1,-0.070904895,-0.60754175,0.02903525
GSM1423835,1,-0.067570835,-0.031489373,-0.04156118
GSM1423836,1,-0.00728323,-0.151817615,0.1306417
GSM1423837,1,-0.088219855,-0.3297043,-0.02644869
GSM1423838,1,-0.084177325,0.03637994,-0.1704859
GSM1423839,1,-0.081519025,-0.14017781,-0.07528697
GSM1423840,1,-0.069511075,0.02412463,-0.2084208
GSM1423841,1,-0.064790192,-0.10316606,-0.09627358
GSM1423842,1,0.010370265,-0.4162637,0.1244435
GSM1423843,1,0.011317978,-0.113329875,0.01351172
GSM1423844,1,-0.06471792,-0.5274424,0.3158999
GSM1423845,1,-0.048255335,-0.154405215,0.09357049
GSM1423846,1,-0.07413469,-0.00178629,-0.05579643
GSM1423847,1,-0.060996695,-0.30335205,0.2170737
GSM1423848,1,-0.07315755,-0.09771752,0.02811363
GSM1423849,1,-0.06090895,0.03741387,-0.09835376
GSM1423850,1,-0.071536179,-0.35862875,0.09455802
GSM1423851,1,-0.09444501,-0.30323925,0.005682071
GSM1423852,1,-0.008223712,-0.044220956,-0.1365362
GSM1423853,1,-0.0827039,-0.4723416,0.0589384
GSM1423854,1,-0.05221071,-0.52882635,0.2221297
GSM1423855,1,-0.090632245,-0.3384909,0.01278648
GSM1423856,1,0.03841065,-0.39549985,0.1119537
GSM1423857,1,-0.056353165,-0.43488995,0.1432634
GSM1423858,1,-0.034495305,-0.6552566,0.1516136
GSM1423859,1,-0.0307457,-0.87981795,0.3551241
GSM1423860,1,-0.02549611,-0.443777,0.2517503
GSM1423861,1,-0.009809598,-0.09794838,-0.01809887
GSM1423862,1,-0.05648995,0.054169075,-0.06016735
GSM1423863,1,-0.024643498,-0.1981837,-0.2067803
GSM1423864,1,-0.026778645,0.08096815,-0.1425225
GSM1423865,1,-0.06298481,-0.2134254,-0.03105515
GSM1423866,1,0.002240325,-0.3872494,0.1793183
GSM1423867,1,0.003311206,0.09580077,-0.0688742
GSM1423868,1,-0.058406635,-0.18718315,0.04912256
GSM1423869,1,0.09001263,-0.80387565,-0.08161657
GSM1423870,1,-0.038199318,-0.18538688,0.1481113
GSM1423871,1,-0.0787807,-0.2733413,-0.04374292
GSM1423872,1,-0.111985015,-0.72686795,0.1465949
GSM1423873,1,-0.057753566,-0.2188427,0.04562285
GSM1423874,1,-0.077033985,-0.2000578,0.05062763
GSM1423875,1,-0.19910515,0.2333729,-0.3644155
GSM1423876,1,0.01354903,0.04645934,0.02754341
GSM1423877,1,-0.164171985,-0.49349765,0.1678156
GSM1423878,1,-0.060510205,-0.2632842,0.1383799
GSM1423879,1,-0.09135491,-0.5358124,0.1840365
GSM1423880,1,-0.071269435,-0.035758995,-0.1491036
GSM1423881,1,-0.02787091,-0.3014603,-0.02286225
GSM1423882,1,-0.046205645,-0.1618138,0.05395927
GSM1423883,1,-0.033946275,-0.042198585,0.03698162
GSM1423884,1,0.039614835,0.072651925,-0.1215628
GSM1423885,1,-0.104066565,-0.3267009,-0.1295898
GSM1423886,1,-0.07387989,-0.39237615,0.239809
GSM1423887,1,-0.100480295,-0.07120117,-0.1262427
GSM1423888,1,-0.09507928,-0.1546791,-0.2747655
GSM1423889,1,-0.2271461,0.011165342,-0.2208427
GSM1423890,1,0.021119446,-0.3707168,-0.03678356
GSM1423891,1,-0.021590975,-0.67075595,0.1250245
GSM1423892,1,-0.009243985,-0.44595745,0.2363383
GSM1423893,1,-0.047767675,-0.023691945,-0.1200805
GSM1423894,1,-0.127510165,-0.1502779,0.1811616
GSM1423895,1,-0.05079707,-0.29867755,-0.005140956
GSM1423896,1,-0.033151296,-0.4480071,0.03824684
GSM1423897,1,-0.138792895,-0.7087076,0.1998381
GSM1423898,1,-0.125330565,-0.1546989,0.06894243
GSM1423899,1,-0.043681783,-0.141771545,-0.004917494
GSM1423900,1,-0.046367012,-0.19096975,-0.02302365
GSM1423901,1,-0.063369664,-0.09359567,-0.1701197
GSM1423902,1,-0.016382045,-0.293407,-0.3319345
GSM1423903,1,-0.086361475,-0.3834355,0.04195945
GSM1423904,1,-0.101291745,-0.15451025,0.02992975
GSM1423905,1,-0.025935035,0.16021125,0.05130843
GSM1423906,1,0.052262565,-0.4502031,-0.004276853
GSM1423907,1,-0.06455173,-0.3811224,0.2912363
GSM1423908,1,0.05419198,-0.013764605,-0.06347633
GSM1423909,1,0.05843681,-0.12344497,0.01985719
GSM1423910,1,-0.051415295,-0.102040655,-0.143184
GSM1423911,1,-0.078556915,-0.4954863,0.2234179
GSM1423912,1,0.06426152,-0.59097685,0.392884
GSM1423913,1,-0.086548965,-0.14705548,0.1709537
GSM1423914,1,0.000217445,-0.2927751,0.2874199
GSM1423915,1,-0.04185584,-0.16326965,0.03473273
GSM1423916,1,-0.0362951,-0.5552707,-0.03790798
GSM1423917,1,-0.06864862,-0.3034801,0.06872536
GSM1423918,1,-0.032757075,-0.4087487,-0.1226375
GSM1423919,1,0.024983915,-0.01670451,0.02871159
GSM1423920,1,-0.045351079,0.01162045,-0.0588751
GSM1423921,1,-0.028778345,-0.7982378,0.07860375
GSM1423922,1,-0.08239566,-0.2470423,0.2157278
GSM1423923,1,-0.05780819,-0.29321545,0.2453065
GSM1423924,1,-0.010227125,-0.1886844,0.02791859
GSM1423925,1,-0.037068999,-0.004972615,-0.03866364
GSM1423926,1,-0.042706542,-0.4826305,0.1611189
GSM1423927,1,-0.08893064,-0.2384838,-0.11214
GSM1423928,1,-0.03061721,-0.61434825,0.2837187
GSM1423929,1,0.06862156,-0.2160696,0.08822968
GSM1423930,1,-0.023762225,-0.4317832,-0.009266396
GSM1423931,1,-0.06244111,-0.36881585,-0.0469987
GSM1423932,1,0.005825063,-0.03648717,-0.142611
GSM1423933,1,-0.13197255,-0.24803215,0.1694143
GSM1423934,1,-0.068526915,-0.062816875,-0.1431883
GSM1423935,1,-0.064750019,-0.19560455,0.1436219
GSM1423936,1,0.000354765,-0.08507262,0.1751483
GSM1423937,1,-0.04116295,-0.08075199,-0.09423406
GSM1423938,1,-0.04430218,-0.0620217,-0.06247728
GSM1423939,1,0.071361275,-0.090915735,-0.1690743
GSM1423940,1,-0.047034105,-0.094236665,-0.01422074
GSM1423941,1,-0.005256495,-0.11935166,-0.01851611
GSM1423942,1,-0.047335815,0.030630756,-0.09497308
GSM1423943,1,-0.05435185,-0.04704604,-0.002869789
GSM1423944,1,0.022041202,-1.4083065,0.7188503
GSM1423945,1,-0.058869435,-0.48368495,0.2316607
GSM1423946,1,-0.038552675,-0.45591145,0.1259195
GSM1423947,1,-0.069327325,-0.165174865,-0.08474726
GSM1423948,1,-0.027899195,-0.23671295,-0.105161
GSM1423949,1,-0.003112205,-0.3990507,-0.004070187
GSM1423950,1,-0.019437825,0.1495583,-0.03316675
GSM1423951,1,0.17105385,-0.6902849,0.2724545
GSM1423952,1,0.010440555,-0.2771261,0.09579547
GSM1423953,1,-0.00462149,-0.55735825,0.07943211
GSM1423954,1,0.045688225,-0.727674,0.3248297
GSM1423955,1,0.084867205,-0.178732,-0.06210805
GSM1423956,1,0.014227975,-0.19957225,-0.03068552
GSM1423957,1,0.023337925,-0.3221705,0.1282176
GSM1423958,1,0.04143811,-0.30723435,0.251866
GSM1423959,1,-0.000711965,-0.5123528,0.009220826
GSM1423960,1,0.09925104,-0.110102225,0.1521046
GSM1423961,1,0.007453875,-0.524733,0.2364534
GSM1423962,1,0.06627234,-0.3532031,0.2037334
GSM1423963,1,0.03947384,-0.078891428,0.02423333
GSM1423964,1,0.009908995,-0.3652239,0.2827609
GSM1423965,1,0.020541379,-0.164223195,-0.08182833
GSM1423966,1,-0.088117125,-0.15415165,0.02693515
GSM1423967,1,-0.02501787,0.002839705,-0.01059721
GSM1423968,1,0.013119925,-0.25673595,-0.1008568
GSM1423969,1,0.07527033,-0.8020188,0.1868998
GSM1423970,1,0.081008,-0.1833894,0.11355
GSM1423971,1,0.04829686,-0.137118695,-0.01261994
GSM1423972,1,0.022097475,-0.30495725,0.0788923
GSM1423973,1,0.036255574,-0.3079992,0.1775387
GSM1423974,1,0.015608125,-0.4101397,0.1012973
GSM1423975,1,0.012522985,-0.25439415,0.03612706
GSM1423976,1,0.097392835,-0.0272599,-0.2931059
GSM1423977,1,0.05515974,-0.5585091,0.09757682
GSM1423978,1,0.16218275,-0.62855195,0.2291669
GSM1423979,1,0.104120245,-0.60664665,0.2778552
GSM1423980,1,0.02831311,-0.05356102,-0.1445966
GSM1423981,1,0.091525495,-0.59436595,0.3344563
GSM1423982,1,0.099121265,-0.2508184,0.1100924
GSM1423983,1,0.079462205,-0.466772,0.2773643
GSM1423984,1,0.06209184,-0.8715614,0.1866136
GSM1423985,1,0.20646655,-0.66257205,0.4281902
GSM1423986,1,0.022803705,-0.38170875,0.3221695
GSM1423987,1,0.091999725,-0.2235397,-0.1184831
GSM1423988,1,0.049345187,-0.4334748,0.2183273
GSM1423989,1,0.036558065,-0.68374515,0.2415937
GSM1423990,1,0.08495595,-0.35229455,-0.1108268
GSM1423991,1,0.03200547,-0.75186435,0.05542668
GSM1423992,1,0.058447885,-0.48208625,0.193242
GSM1423993,1,0.11150382,-0.12527298,0.1084159
GSM1423994,1,0.04970116,-0.5230108,0.1761822
GSM1423995,1,0.09811318,-0.2343346,-0.1514794
GSM1423996,1,0.03471555,-0.50831375,0.4292485
GSM1423997,1,0.053832565,-0.21713395,0.2128765
GSM1423998,1,0.063301125,-0.4363626,0.08929203
GSM1423999,1,0.07265725,-0.3519743,0.06984094
GSM1424000,1,0.0649685,-0.32781965,0.07572249
GSM1424001,1,0.06736549,-0.3151802,-0.01060654
GSM1424002,1,0.08198108,-0.77384395,0.2886876
GSM1424003,1,0.020293045,-0.346856,0.2327622
GSM1424004,1,0.06894735,-0.34895185,0.3331431
GSM1424005,1,0.007818275,-0.15170455,0.003203783
GSM1424006,1,-0.00302347,-0.3028341,-0.1301462
GSM1424007,1,0.13300524,-0.7215936,0.490675
GSM1424008,1,0.187689427,-0.83521715,0.3341898
GSM1424009,1,0.070573885,-0.075940975,-0.05606633
GSM1424010,1,0.05814475,0.00380668,0.00355464
GSM1424011,1,0.04188248,-0.13524285,0.06878381
GSM1424012,1,0.02007205,-0.1312731,-0.2933456
GSM1424013,1,-0.00082533,-0.2081481,0.05047473
GSM1424014,1,0.049840475,-0.40352525,0.1211052
GSM1424015,1,0.09932542,-0.22865375,0.05906235
GSM1424016,1,0.20652862,-0.94866405,0.4431965
GSM1424017,1,-0.016393275,-0.40416695,0.249342
GSM1424018,1,0.060288366,-0.21627515,-0.1492938
GSM1424019,1,0.07030737,-0.5818286,-0.1704017
GSM1424020,1,0.052564135,-0.39940505,0.2444412
GSM1424021,1,0.048015005,-0.6905686,0.2005469
GSM1424022,1,0.042397455,-0.602997,0.07953731
GSM1424023,1,0.05004714,-0.19380065,-0.03405621
GSM1424024,1,0.037477643,-0.2287335,-0.1318342
GSM1424025,1,0.106436155,-0.7118154,0.1970048
GSM1424026,1,0.01926216,-0.2504349,-0.1183704
GSM1424027,1,0.063860655,-0.17467755,0.01542007
GSM1424028,1,0.04747025,-0.3289455,0.2439829
GSM1424029,1,0.05502051,-0.18077955,0.05747982
GSM1424030,1,0.01768325,-0.49591975,0.3998126
GSM1424031,1,0.03587853,-0.3255697,-0.04251916
GSM1424032,1,0.02261395,-0.6884574,0.1488801
GSM1424033,1,0.094637265,-0.60737185,0.3548176
GSM1424034,1,0.021986877,-0.2909035,0.04669456
GSM1424035,1,0.055617685,-0.57074755,-0.01468972
GSM1424036,1,0.0356918,-0.88895055,0.4255349
GSM1424037,1,0.01610612,-0.35551345,0.004145406
GSM1424038,1,0.060123635,-0.4596931,-0.03777815
GSM1424039,1,0.05363063,-0.2829522,-0.02253816
GSM1424040,1,0.01341439,-0.3335867,-0.01648774
GSM1424041,1,0.06269372,-0.63990295,0.2259478
GSM1424042,1,0.102187325,-0.3588068,-0.1083136
GSM1424043,1,0.091972645,-0.29285925,-0.08070011
GSM1424044,1,0.02365756,-0.419782,-0.114084
GSM1424045,1,0.038917024,-0.24376645,-0.2220632
GSM1424046,1,0.12473026,-0.03564229,-0.1516416
GSM1424047,1,-0.00252746,-0.3017108,-0.05211759
GSM1424048,1,0.047876595,-0.29882055,0.03948274
GSM1424049,1,0.00280107,-0.39744,0.01022451
GSM1424050,1,0.063894881,-0.2347331,0.2523923
GSM1424051,1,0.18159402,-0.80775425,0.4745197
GSM1424052,1,0.16948385,-0.8950363,0.3065551
GSM1424053,1,-0.07107824,-0.578948,-0.06149467
GSM1424054,1,0.140357995,-0.5440269,0.2232484
GSM1424055,1,0.00517152,-0.71234315,0.06414177
GSM1424056,1,0.096213195,-0.23703675,-0.02691992
GSM1424057,1,0.1513848,-0.10948633,-0.04123517
GSM1424058,1,0.2142011,-0.63292705,0.1148141
GSM1424059,1,0.07933158,-0.05759246,-0.3049793
GSM1424060,1,0.022214405,-0.8109485,0.3537077
GSM1424061,1,0.11212142,-0.17578095,0.1933819
GSM1424062,1,0.05750346,-0.158923045,-0.06741361
GSM1424063,1,0.05299471,0.050296415,-0.1971081
GSM1424064,1,-0.044311949,0.19166415,-0.06473878
GSM1424065,1,0.12544948,-0.05536893,-0.2436607
GSM1424066,1,0.026439005,-0.077935425,-0.06131424
GSM1424067,1,0.025719016,-0.1788014,-0.1089533
GSM1424068,1,-0.06928411,-0.04174013,0.04602126
GSM1424069,1,-0.036710358,-0.030060025,-0.125229
GSM1424070,1,0.06143031,-0.024074289,-0.111205
GSM1424071,1,-0.040866875,-0.2562826,-0.04243844
GSM1424072,1,0.049438185,0.018272021,-0.2833289
GSM1424073,1,0.017545775,-0.11920015,-0.2882044
GSM1424074,1,-0.010750705,-0.020826143,-0.1714236
GSM1424075,1,0.069088845,-0.09678076,-0.04346146
GSM1424076,1,-0.038028825,-0.26697835,0.03006959
GSM1424077,1,0.06010229,-0.48860445,0.209147
GSM1424078,1,-0.016144835,-0.09409597,-0.2285543
GSM1424079,1,0.010647295,0.046114956,-0.1375152
GSM1424080,1,-0.020547608,-0.20730665,0.3223169
GSM1424081,1,-0.027365315,-0.45654375,-0.09690295
GSM1424082,1,0.051102558,-0.33999495,0.01269303
GSM1424083,1,-0.02859089,0.00946851,-0.1463273
GSM1424084,1,-0.010538365,-0.2006537,0.1852656
GSM1424085,1,0.02327737,0.00747379,-0.1897573
GSM1424086,1,0.043022015,-0.099978255,0.1626889
GSM1424087,1,0.025459725,-0.1736198,0.1266229
GSM1424088,1,-0.015855115,-0.3930649,0.07376036
GSM1424089,1,0.01721077,0.0367045,-0.1197046
GSM1424090,0,0.00215188,0.014479175,0.06657138
GSM1424091,0,0.00554594,0.038741845,0.01508313
GSM1424092,0,0.017289281,-0.10365573,0.007225185
GSM1424093,0,0.006400953,-0.00936742,-0.2755498
GSM1424094,0,-0.032112955,0.1665019,-0.01150473
GSM1424095,0,-0.05651118,0.012851079,0.06275391
GSM1424096,0,0.003852993,0.13790662,-0.01896173
GSM1424097,0,0.06968793,0.15347835,-0.0842723
GSM1424098,0,0.0843848,-0.073077805,-0.3307676
GSM1424099,0,0.0454253,-0.06151713,-0.239723
GSM1424100,0,-0.082667365,0.06782144,-0.03578698
GSM1424101,0,-0.0170319,0.04980362,-0.0226246
GSM1424102,0,0.015123215,0.1259096,0.03370028
GSM1424103,0,0.05636171,0.084185515,-0.08646648
GSM1424104,0,-0.01104379,-0.009167555,0.03983567
GSM1424105,0,0.025983204,-0.075808647,0.02775067
GSM1424106,0,-0.00780546,0.14175945,-0.1209611
GSM1424107,0,-0.023787696,0.066637985,-0.03381439
GSM1424108,0,0.022523345,0.095946475,-0.2689905
GSM1424109,0,0.011650625,-0.29555415,0.06220598
GSM1424110,0,0.023420855,0.026814445,0.1155222
GSM1424111,0,0.00803109,0.111541575,-0.177704
GSM1424112,0,0.029990985,0.13338865,-0.2086218
GSM1424113,0,-0.05470904,-0.07517881,-0.1764263
GSM1424114,0,0.100716415,0.068542865,-0.02051466
GSM1424115,0,-0.01536443,-0.094633535,0.07712406
GSM1424116,0,0.007796935,0.108328185,-0.133647
GSM1424117,0,-0.006478389,0.10217982,-0.03855698
GSM1424118,0,-0.08881765,0.1584207,-0.1341953
GSM1424119,0,-0.013888095,0.03533874,0.01529153
GSM1424120,0,0.00427493,-0.023938354,-0.1340043
GSM1424121,0,-0.013070009,0.041036545,-0.1930618
GSM1424122,0,-0.014394217,0.15661805,-0.03761735
GSM1424123,0,0.036326705,0.039269244,-0.2470802
GSM1424124,0,-0.001508437,0.07043427,-0.08239777
GSM1424125,0,-0.002042304,0.13499157,-0.1039781
GSM1424126,0,0.005299966,-0.0331541,-0.04632685
GSM1424127,0,0.017752225,0.003172405,-0.08545734
GSM1424128,0,-0.009486283,0.094758385,0.04177144
